ISCO_88_Title_EN,ISCO_88_code,soc10,soc10_title,dup_flag,var6,
Institution-based personal care workers,5132,312022,Physical Therapist Aides,0,,
Home-based personal care workers,5133,311011,Home Health Aides,0,,
Home-based personal care workers,5133,399021,Personal Care Aides,0,,
Personal care and related workers not elsewhere classified,5139,311015,Orderlies,0,,
Personal care and related workers not elsewhere classified,5139,312012,Occupational Therapy Aides,0,,
Personal care and related workers not elsewhere classified,5139,319091,Dental Assistants,0,,
Personal care and related workers not elsewhere classified,5139,319093,Medical Equipment Preparers,0,,
Personal care and related workers not elsewhere classified,5139,319095,Pharmacy Aides,0,,
Personal care and related workers not elsewhere classified,5139,319096,Veterinary Assistants and Laboratory Animal Caretakers,0,,
Personal care and related workers not elsewhere classified,5139,319097,Phlebotomists,0,,
Personal care and related workers not elsewhere classified,5139,319099,"Healthcare Support Workers, All Other",0,,
Personal care and related workers not elsewhere classified,5139,391021,First-Line Supervisors of Personal Service Workers,0,,
Personal care and related workers not elsewhere classified,5139,392011,Animal Trainers,0,,
"Hairdressers, barbers, beauticians and related workers",5141,395011,Barbers,0,,
"Hairdressers, barbers, beauticians and related workers",5141,395012,"Hairdressers, Hairstylists, and Cosmetologists",1,,
"Hairdressers, barbers, beauticians and related workers",5141,395091,"Makeup Artists, Theatrical and Performance",0,,
"Hairdressers, barbers, beauticians and related workers",5141,395092,Manicurists and Pedicurists,0,,
"Hairdressers, barbers, beauticians and related workers",5141,395093,Shampooers,0,,
"Hairdressers, barbers, beauticians and related workers",5141,395094,Skincare Specialists,0,,
Companions and valets,5142,399021,Personal Care Aides,0,,
Companions and valets,5142,399099,"Personal Care and Service Workers, All Other",0,,
Undertakers and embalmers,5143,394011,Embalmers,0,,
Undertakers and embalmers,5143,394021,Funeral Attendants,0,,
Undertakers and embalmers,5143,394031,"Morticians, Undertakers, and Funeral Directors",0,,
Other personal services workers not elsewhere classified,5149,359031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",0,,
Other personal services workers not elsewhere classified,5149,391021,First-Line Supervisors of Personal Service Workers,0,,
