ISCO_88_Title_EN,ISCO_88_code,soc10,soc10_title,dup_flag,var6,
"Compositors, typesetters and related workers",7341,515112,Printing Press Operators,0,,
Stereotypers and electrotypers,7342,515111,Prepress Technicians and Workers,0,,
Printing engravers and etchers,7343,439031,Desktop Publishers,0,,
Photographic and related workers,7344,519151,Photographic Process Workers and Processing Machine Operators,0,,
Bookbinders and related workers,7345,515113,Print Binding and Finishing Workers,0,,
"Silk-screen, block and textile printers",7346,515112,Printing Press Operators,0,,
,7400,519199,"Production Workers, All Other",1,,
,7410,513092,Food Batchmakers,6,,
"Butchers, fishmongers and related food preparers",7411,513021,Butchers and Meat Cutters,0,,
"Butchers, fishmongers and related food preparers",7411,513022,"Meat, Poultry, and Fish Cutters and Trimmers",0,,
"Butchers, fishmongers and related food preparers",7411,513023,Slaughterers and Meat Packers,0,,
"Butchers, fishmongers and related food preparers",7411,513091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",0,,
"Bakers, pastry-cooks and confectionery makers",7412,513011,Bakers,0,,
Dairy-products makers,7413,513092,Food Batchmakers,0,,
Dairy-products makers,7413,519012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",0,,
"Fruit, vegetable and related preservers",7414,513093,Food Cooking Machine Operators and Tenders,0,,
"Fruit, vegetable and related preservers",7414,513099,"Food Processing Workers, All Other",0,,
Food and beverage tasters and graders,7415,452011,Agricultural Inspectors,0,,
Food and beverage tasters and graders,7415,452041,"Graders and Sorters, Agricultural Products",0,,
Tobacco preparers and tobacco products makers,7416,452041,"Graders and Sorters, Agricultural Products",0,,
Tobacco preparers and tobacco products makers,7416,519041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",0,,
Tobacco preparers and tobacco products makers,7416,519195,"Molders, Shapers, and Casters, Except Metal and Plastic",0,,
Wood treaters,7421,519051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",0,,
Wood treaters,7421,519191,Adhesive Bonding Machine Operators and Tenders,0,,
Cabinet-makers and related workers,7422,517011,Cabinetmakers and Bench Carpenters,0,,
Cabinet-makers and related workers,7422,517021,Furniture Finishers,0,,
Cabinet-makers and related workers,7422,517031,"Model Makers, Wood",0,,
Cabinet-makers and related workers,7422,517032,"Patternmakers, Wood",0,,
Woodworking-machine setters and setter-operators,7423,517042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",0,,
"Basketry weavers, brush makers and related workers",7424,271012,Craft Artists,0,,
,7430,516031,Sewing Machine Operators,0,,
Fibre preparers,7431,516063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",0,,
"Weavers, knitters and related workers",7432,516063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",2,,
"Tailors, dressmakers and hatters",7433,516052,"Tailors, Dressmakers, and Custom Sewers",1,,
Furriers and related workers,7434,516052,"Tailors, Dressmakers, and Custom Sewers",0,,
"Textile, leather and related pattern-makers and cutters",7435,516062,"Textile Cutting Machine Setters, Operators, and Tenders",0,,
"Textile, leather and related pattern-makers and cutters",7435,516092,Fabric and Apparel Patternmakers,0,,
"Textile, leather and related pattern-makers and cutters",7435,519031,"Cutters and Trimmers, Hand",0,,
"Sewers, embroiderers and related workers",7436,499093,"Fabric Menders, Except Garment",0,,
"Sewers, embroiderers and related workers",7436,516051,"Sewers, Hand",0,,
Upholsterers and related workers,7437,516093,Upholsterers,0,,
"Pelt dressers, tanners and fellmongers",7441,516099,"Textile, Apparel, and Furnishings Workers, All Other",0,,
Shoe-makers and related workers,7442,516041,Shoe and Leather Workers and Repairers,0,,
Mining-plant operators,8111,471011,First-Line Supervisors of Construction Trades and Extraction Workers,0,,
Mining-plant operators,8111,475042,Mine Cutting and Channeling Machine Operators,0,,
Mineral-ore- and stone-processing-plant operators,8112,519021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",0,,
Mineral-ore- and stone-processing-plant operators,8112,519192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",0,,
Well drillers and borers and related workers,8113,475011,"Derrick Operators, Oil and Gas",0,,
Well drillers and borers and related workers,8113,475012,"Rotary Drill Operators, Oil and Gas",0,,
Well drillers and borers and related workers,8113,475013,"Service Unit Operators, Oil, Gas, and Mining",0,,
Well drillers and borers and related workers,8113,475021,"Earth Drillers, Except Oil and Gas",0,,
Well drillers and borers and related workers,8113,475071,"Roustabouts, Oil and Gas",0,,
Well drillers and borers and related workers,8113,537073,Wellhead Pumpers,0,,
,8120,514051,Metal-Refining Furnace Operators and Tenders,1,,
Ore and metal furnace operators,8121,514023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",0,,
Ore and metal furnace operators,8121,514051,Metal-Refining Furnace Operators and Tenders,4,,
"Metal melters, casters and rolling-mill operators",8122,514051,Metal-Refining Furnace Operators and Tenders,1,,
Metal-heat-treating-plant operators,8123,514051,Metal-Refining Furnace Operators and Tenders,0,,
Metal-heat-treating-plant operators,8123,514052,"Pourers and Casters, Metal",0,,
Metal drawers and extruders,8124,514021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",0,,
Metal drawers and extruders,8124,514051,Metal-Refining Furnace Operators and Tenders,0,,
Metal drawers and extruders,8124,514191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",0,,
Glass and ceramics kiln and related machine operators,8131,516091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",0,,
Glass and ceramics kiln and related machine operators,8131,519021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",0,,
Glass and ceramics kiln and related machine operators,8131,519023,"Mixing and Blending Machine Setters, Operators, and Tenders",0,,
Glass and ceramics kiln and related machine operators,8131,519051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",0,,
Glass and ceramics kiln and related machine operators,8131,519195,"Molders, Shapers, and Casters, Except Metal and Plastic",0,,
"Glass, ceramics and related plant operators not elsewhere classified",8139,519041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",0,,
Wood-processing-plant operators,8141,517041,"Sawing Machine Setters, Operators, and Tenders, Wood",1,,
Paper-pulp plant operators,8142,519196,"Paper Goods Machine Setters, Operators, and Tenders",0,,
Papermaking-plant operators,8143,519192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",0,,
,8150,519011,Chemical Equipment Operators and Tenders,8,,
"Crushing-, grinding- and chemical-mixing machinery operators",8151,519011,Chemical Equipment Operators and Tenders,0,,
Chemical-heat-treating-plant operators,8152,518091,Chemical Plant and System Operators,0,,
Chemical-heat-treating-plant operators,8152,519012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",0,,
Chemical-filtering- and separating-equipment operators,8153,518091,Chemical Plant and System Operators,0,,
Chemical-filtering- and separating-equipment operators,8153,519195,"Molders, Shapers, and Casters, Except Metal and Plastic",0,,
Chemical-still and reactor operators (except petroleum and natural gas),8154,518091,Chemical Plant and System Operators,0,,
Chemical-still and reactor operators (except petroleum and natural gas),8154,519011,Chemical Equipment Operators and Tenders,0,,
Petroleum- and natural-gas-refining-plant operators,8155,518092,Gas Plant Operators,0,,
Petroleum- and natural-gas-refining-plant operators,8155,518093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",0,,
Petroleum- and natural-gas-refining-plant operators,8155,519011,Chemical Equipment Operators and Tenders,0,,
Petroleum- and natural-gas-refining-plant operators,8155,537071,Gas Compressor and Gas Pumping Station Operators,0,,
Petroleum- and natural-gas-refining-plant operators,8155,537072,"Pump Operators, Except Wellhead Pumpers",0,,
Chemical-processing-plant operators not elsewhere classified,8159,518091,Chemical Plant and System Operators,0,,
Chemical-processing-plant operators not elsewhere classified,8159,519011,Chemical Equipment Operators and Tenders,0,,
,8160,518013,Power Plant Operators,0,,
Power-production plant operators,8161,518011,Nuclear Power Reactor Operators,0,,
Power-production plant operators,8161,518012,Power Distributors and Dispatchers,0,,
Power-production plant operators,8161,518013,Power Plant Operators,0,,
Steam-engine and boiler operators,8162,518021,Stationary Engineers and Boiler Operators,0,,
"Incinerator, water-treatment and related plant operators",8163,518031,Water and Wastewater Treatment Plant and System Operators,0,,
"Incinerator, water-treatment and related plant operators",8163,518099,"Plant and System Operators, All Other",0,,
"Incinerator, water-treatment and related plant operators",8163,537072,"Pump Operators, Except Wellhead Pumpers",0,,
Automated-assembly-line operators,8171,514012,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",0,,
Industrial-robot operators,8172,514012,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",0,,
Machine-tool operators,8211,511011,First-Line Supervisors of Production and Operating Workers,0,1,
Machine-tool operators,8211,514011,"Computer-Controlled Machine Tool Operators, Metal and Plastic",0,,
Machine-tool operators,8211,514022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",0,,
Machine-tool operators,8211,514023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",0,,
Machine-tool operators,8211,514031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",0,,
Machine-tool operators,8211,514032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0,,
Machine-tool operators,8211,514033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0,,
Machine-tool operators,8211,514034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0,,
Machine-tool operators,8211,514035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",0,,
Machine-tool operators,8211,514041,Machinists,0,,
Machine-tool operators,8211,514081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0,,
Machine-tool operators,8211,514199,"Metal Workers and Plastic Workers, All Other",0,,
Cement and other mineral products machine operators,8212,518099,"Plant and System Operators, All Other",0,,
Cement and other mineral products machine operators,8212,519021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",0,,
Cement and other mineral products machine operators,8212,519023,"Mixing and Blending Machine Setters, Operators, and Tenders",0,,
Cement and other mineral products machine operators,8212,519032,"Cutting and Slicing Machine Setters, Operators, and Tenders",0,,
,8220,519011,Chemical Equipment Operators and Tenders,3,,
Pharmaceutical- and toiletry-products machine operators,8221,519011,Chemical Equipment Operators and Tenders,0,,
Ammunition- and explosive-products machine operators,8222,519011,Chemical Equipment Operators and Tenders,0,,
"Metal finishing-, plating- and coating-machine operators",8223,514193,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",0,,
"Metal finishing-, plating- and coating-machine operators",8223,519121,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",0,,
"Metal finishing-, plating- and coating-machine operators",8223,519192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",0,,
Photographic-products machine operators,8224,519151,Photographic Process Workers and Processing Machine Operators,0,,
Chemical-products machine operators not elsewhere classified,8229,519011,Chemical Equipment Operators and Tenders,0,,
Rubber-products machine operators,8231,519021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",0,,
Rubber-products machine operators,8231,519041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",0,,
Rubber-products machine operators,8231,519051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",0,,
Rubber-products machine operators,8231,519195,"Molders, Shapers, and Casters, Except Metal and Plastic",0,,
Rubber-products machine operators,8231,519197,Tire Builders,0,,
Plastic-products machine operators,8232,512091,Fiberglass Laminators and Fabricators,0,,
Plastic-products machine operators,8232,514021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",0,,
Plastic-products machine operators,8232,514022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",0,,
Plastic-products machine operators,8232,514023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",0,,
Plastic-products machine operators,8232,514031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",0,,
Plastic-products machine operators,8232,514032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0,,
Plastic-products machine operators,8232,514033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0,,
Plastic-products machine operators,8232,514034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0,,
Plastic-products machine operators,8232,514035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",0,,
Plastic-products machine operators,8232,514072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",0,,
Plastic-products machine operators,8232,514191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",0,,
Plastic-products machine operators,8232,514193,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",0,,
Plastic-products machine operators,8232,514199,"Metal Workers and Plastic Workers, All Other",0,,
Wood-products machine operators,8240,517042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",0,,
Printing-machine operators,8251,515112,Printing Press Operators,0,,
Bookbinding-machine operators,8252,515113,Print Binding and Finishing Workers,0,,
Paper-products machine operators,8253,519191,Adhesive Bonding Machine Operators and Tenders,0,,
Paper-products machine operators,8253,519196,"Paper Goods Machine Setters, Operators, and Tenders",0,,
"Fibre-preparing-, spinning- and winding-machine operators",8261,516064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",0,,
Weaving- and knitting-machine operators,8262,516063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",0,,
Sewing-machine operators,8263,516031,Sewing Machine Operators,0,,
"Bleaching-, dyeing- and cleaning-machine operators",8264,516011,Laundry and Dry-Cleaning Workers,0,,
"Bleaching-, dyeing- and cleaning-machine operators",8264,516061,Textile Bleaching and Dyeing Machine Operators and Tenders,0,,
Fur- and leather-preparing-machine operators,8265,516099,"Textile, Apparel, and Furnishings Workers, All Other",0,,
Shoemaking- and related machine operators,8266,516042,Shoe Machine Operators and Tenders,0,,
"Textile-, fur- and leather-products machine operators not elsewhere classified",8269,516099,"Textile, Apparel, and Furnishings Workers, All Other",0,,
Meat- and fish-processing-machine operators,8271,513099,"Food Processing Workers, All Other",0,,
Dairy-products machine operators,8272,513092,Food Batchmakers,0,,
Grain- and spice-milling-machine operators,8273,513093,Food Cooking Machine Operators and Tenders,0,,
"Baked-goods, cereal and chocolate-products machine operators",8274,513091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",0,,
"Fruit-, vegetable- and nut-processing-machine operators",8275,513099,"Food Processing Workers, All Other",0,,
Sugar production machine operators,8276,513099,"Food Processing Workers, All Other",0,,
"Tea-, coffee-, and cocoa-processing-machine operators",8277,513099,"Food Processing Workers, All Other",0,,
"Brewers-, wine and other beverage machine operators",8278,513099,"Food Processing Workers, All Other",0,,
Tobacco production machine operators,8279,519193,Cooling and Freezing Equipment Operators and Tenders,0,,
,8280,512092,Team Assemblers,3,,
Mechanical-machinery assemblers,8281,512011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",1,,
Mechanical-machinery assemblers,8281,512031,Engine and Other Machine Assemblers,0,,
Electrical-equipment assemblers,8282,512021,"Coil Winders, Tapers, and Finishers",0,,
Electrical-equipment assemblers,8282,512022,Electrical and Electronic Equipment Assemblers,0,,
Electrical-equipment assemblers,8282,512023,Electromechanical Equipment Assemblers,0,,
Electrical-equipment assemblers,8282,519194,Etchers and Engravers,0,,
Electronic-equipment assemblers,8283,512093,Timing Device Assemblers and Adjusters,1,,
"Metal-, rubber- and plastic-products assemblers",8284,512092,Team Assemblers,0,,
Wood and related products assemblers,8285,512099,"Assemblers and Fabricators, All Other",0,,
"Paperboard, textile and related products assemblers",8286,511011,First-Line Supervisors of Production and Operating Workers,0,,
"Paperboard, textile and related products assemblers",8286,512092,Team Assemblers,0,,
Other machine operators and assemblers,8290,511011,First-Line Supervisors of Production and Operating Workers,2,,
Other machine operators and assemblers,8290,512092,Team Assemblers,0,,
Other machine operators and assemblers,8290,519111,Packaging and Filling Machine Operators and Tenders,0,,
Other machine operators and assemblers,8290,519141,Semiconductor Processors,0,,
Other machine operators and assemblers,8290,519191,Adhesive Bonding Machine Operators and Tenders,0,,
Other machine operators and assemblers,8290,519193,Cooling and Freezing Equipment Operators and Tenders,0,,
Other machine operators and assemblers,8290,537011,Conveyor Operators and Tenders,0,,
,8310,534011,Locomotive Engineers,0,,
Locomotive-engine drivers,8311,531031,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,0,,
Locomotive-engine drivers,8311,534011,Locomotive Engineers,0,,
Locomotive-engine drivers,8311,534012,Locomotive Firers,0,,
Locomotive-engine drivers,8311,534013,"Rail Yard Engineers, Dinkey Operators, and Hostlers",0,,
Locomotive-engine drivers,8311,534041,Subway and Streetcar Operators,0,,
Locomotive-engine drivers,8311,537111,Mine Shuttle Car Operators,0,,
"Railway brakers, signallers and shunters",8312,531031,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,0,,
"Railway brakers, signallers and shunters",8312,534021,"Railroad Brake, Signal, and Switch Operators",0,,
"Railway brakers, signallers and shunters",8312,534031,Railroad Conductors and Yardmasters,0,,
"Railway brakers, signallers and shunters",8312,534099,"Rail Transportation Workers, All Other",0,,
,8320,533032,Heavy and Tractor-Trailer Truck Drivers,1,,
Motor-cycle drivers,8321,435021,Couriers and Messengers,0,,
Motor-cycle drivers,8321,533099,"Motor Vehicle Operators, All Other",0,,
"Car, taxi and van drivers",8322,533011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",0,,
"Car, taxi and van drivers",8322,533031,Driver/Sales Workers,0,,
"Car, taxi and van drivers",8322,533033,Light Truck or Delivery Services Drivers,0,,
"Car, taxi and van drivers",8322,533041,Taxi Drivers and Chauffeurs,0,,
Bus and tram drivers,8323,533021,"Bus Drivers, Transit and Intercity ",0,,
Bus and tram drivers,8323,533022,"Bus Drivers, School or Special Client ",0,,
Bus and tram drivers,8323,534041,Subway and Streetcar Operators,0,,
Heavy truck and lorry drivers,8324,533032,Heavy and Tractor-Trailer Truck Drivers,0,,
Motorised farm and forestry plant operators,8331,452091,Agricultural Equipment Operators,0,,
Motorised farm and forestry plant operators,8331,454022,Logging Equipment Operators,0,,
Earth-moving- and related plant operators,8332,472071,"Paving, Surfacing, and Tamping Equipment Operators",0,,
Earth-moving- and related plant operators,8332,472072,Pile-Driver Operators,0,,
Earth-moving- and related plant operators,8332,472073,Operating Engineers and Other Construction Equipment Operators,0,,
Earth-moving- and related plant operators,8332,537031,Dredge Operators,0,,
Earth-moving- and related plant operators,8332,537032,Excavating and Loading Machine and Dragline Operators,0,,
"Crane, hoist and related plant operators",8333,536011,Bridge and Lock Tenders,0,,
"Crane, hoist and related plant operators",8333,537021,Crane and Tower Operators,0,,
"Crane, hoist and related plant operators",8333,537041,Hoist and Winch Operators,0,,
Lifting-truck operators,8334,537051,Industrial Truck and Tractor Operators,0,,
Ships' deck crews and related workers,8340,535011,Sailors and Marine Oilers,0,,
Ships' deck crews and related workers,8340,535022,Motorboat Operators,0,,
,9000,537062,"Laborers and Freight, Stock, and Material Movers, Hand",0,,
Street food vendors,9111,353041,"Food Servers, Nonrestaurant",0,,
Street food vendors,9111,419091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",0,,
"Street vendors, non-food products",9112,419091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",0,,
Door-to-door and telephone salespersons,9113,419041,Telemarketers,0,,
Door-to-door and telephone salespersons,9113,419091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",0,,
Shoe cleaning and other street services elementary occupations,9120,399099,"Personal Care and Service Workers, All Other",0,,
Domestic helpers and cleaners,9131,372012,Maids and Housekeeping Cleaners,0,,
"Helpers and cleaners in offices, hotels and other establishments",9132,352021,Food Preparation Workers,0,,
"Helpers and cleaners in offices, hotels and other establishments",9132,359011,Dining Room and Cafeteria Attendants and Bartender Helpers,0,,
"Helpers and cleaners in offices, hotels and other establishments",9132,359021,Dishwashers,0,,
"Helpers and cleaners in offices, hotels and other establishments",9132,359099,"Food Preparation and Serving Related Workers, All Other",0,,
"Helpers and cleaners in offices, hotels and other establishments",9132,372011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",0,,
"Helpers and cleaners in offices, hotels and other establishments",9132,372012,Maids and Housekeeping Cleaners,0,,
"Helpers and cleaners in offices, hotels and other establishments",9132,537061,Cleaners of Vehicles and Equipment,0,,
Hand-launderers and pressers,9133,516021,"Pressers, Textile, Garment, and Related Materials",0,,
Building caretakers,9141,372011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",0,,
"Vehicle, window and related cleaners",9142,372011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",0,,
"Vehicle, window and related cleaners",9142,372019,"Building Cleaning Workers, All Other",0,,
"Vehicle, window and related cleaners",9142,537061,Cleaners of Vehicles and Equipment,0,,
"Messengers, package and luggage porters and deliverers",9151,435021,Couriers and Messengers,0,,
"Doorkeepers, watchpersons and related workers",9152,339093,Transportation Security Screeners,0,,
"Doorkeepers, watchpersons and related workers",9152,393021,Motion Picture Projectionists,0,,
"Doorkeepers, watchpersons and related workers",9152,393031,"Ushers, Lobby Attendants, and Ticket Takers",0,,
"Doorkeepers, watchpersons and related workers",9152,393091,Amusement and Recreation Attendants,0,,
"Doorkeepers, watchpersons and related workers",9152,393093,"Locker Room, Coatroom, and Dressing Room Attendants",0,,
"Doorkeepers, watchpersons and related workers",9152,396011,Baggage Porters and Bellhops,0,,
"Doorkeepers, watchpersons and related workers",9152,536021,Parking Lot Attendants,0,,
"Vending-machine money collectors, meter readers and related workers",9153,435041,"Meter Readers, Utilities",0,,
"Vending-machine money collectors, meter readers and related workers",9153,499091,"Coin, Vending, and Amusement Machine Servicers and Repairers",0,,
Garbage collectors,9161,531031,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,0,,
Garbage collectors,9161,537081,Refuse and Recyclable Material Collectors,1,,
Sweepers and related labourers,9162,373019,"Grounds Maintenance Workers, All Other",1,,
Sweepers and related labourers,9162,499071,"Maintenance and Repair Workers, General",0,,
Sweepers and related labourers,9162,499098,"Helpers--Installation, Maintenance, and Repair Workers",0,,
Sweepers and related labourers,9162,499099,"Installation, Maintenance, and Repair Workers, All Other",0,,
Sweepers and related labourers,9162,537062,"Laborers and Freight, Stock, and Material Movers, Hand",0,,
Farm-hands and labourers,9211,373019,"Grounds Maintenance Workers, All Other",0,,
Farm-hands and labourers,9211,452092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",2,,
Farm-hands and labourers,9211,452093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",1,,
Farm-hands and labourers,9211,452099,"Agricultural Workers, All Other",2,,
Forestry labourers,9212,454011,Forest and Conservation Workers,0,,
Forestry labourers,9212,454029,"Logging Workers, All Other",0,,
"Fishery, hunting and trapping labourers",9213,452093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",0,,
"Fishery, hunting and trapping labourers",9213,453011,Fishers and Related Fishing Workers,0,,
Mining and quarrying labourers,9311,475081,Helpers--Extraction Workers,0,,
Mining and quarrying labourers,9311,475099,"Extraction Workers, All Other",0,,
"Construction and maintenance labourers: roads, dams and similar constructions",9312,473019,"Helpers, Construction Trades, All Other",0,,
"Construction and maintenance labourers: roads, dams and similar constructions",9312,474051,Highway Maintenance Workers,0,,
"Construction and maintenance labourers: roads, dams and similar constructions",9312,474061,Rail-Track Laying and Maintenance Equipment Operators,2,,
Building construction labourers,9313,472061,Construction Laborers,0,,
Building construction labourers,9313,473011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",0,,
Building construction labourers,9313,473012,Helpers--Carpenters,0,,
Building construction labourers,9313,473013,Helpers--Electricians,0,,
Building construction labourers,9313,473014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",0,,
Building construction labourers,9313,473015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",0,,
Building construction labourers,9313,473016,Helpers--Roofers,0,,
Building construction labourers,9313,473019,"Helpers, Construction Trades, All Other",0,,
Assembling labourers,9321,537063,Machine Feeders and Offbearers,0,,
Assembling labourers,9321,537081,Refuse and Recyclable Material Collectors,0,,
Hand packers and other manufacturing labourers,9322,519198,Helpers--Production Workers,0,,
Hand packers and other manufacturing labourers,9322,519199,"Production Workers, All Other",0,,
Hand packers and other manufacturing labourers,9322,537062,"Laborers and Freight, Stock, and Material Movers, Hand",0,,
Hand packers and other manufacturing labourers,9322,537064,"Packers and Packagers, Hand",0,,
Hand or pedal vehicle drivers,9331,435021,Couriers and Messengers,0,,
Hand or pedal vehicle drivers,9331,536099,"Transportation Workers, All Other",0,,
Hand or pedal vehicle drivers,9331,537199,"Material Moving Workers, All Other",0,,
Drivers of animal-drawn vehicles and machinery,9332,536099,"Transportation Workers, All Other",0,,
Drivers of animal-drawn vehicles and machinery,9332,537199,"Material Moving Workers, All Other",0,,
Freight handlers,9333,435081,Stock Clerks and Order Fillers,0,,
Freight handlers,9333,531011,Aircraft Cargo Handling Supervisors,0,,
Freight handlers,9333,537062,"Laborers and Freight, Stock, and Material Movers, Hand",0,,
Freight handlers,9333,537121,"Tank Car, Truck, and Ship Loaders",0,,
